Support Tickets Ticket ID,Support Tickets Created Date,Support Tickets Closed Date,Support Tickets Days Creation to Solved,Support Tickets Csat Rating Score,Incident Tag,Severity,Support Team,Plan Type,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056158,2022-03-24,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055072,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055581,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055909,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055848,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055184,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1056194,2022-03-24,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055929,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055928,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1056227,2022-03-24,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055938,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055679,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055324,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055693,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1056211,2022-03-24,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055491,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055965,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1056045,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1056205,2022-03-24,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055442,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055948,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1056070,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055535,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055904,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055818,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055587,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055192,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055746,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055694,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1056037,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055643,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055100,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,partner-platform-status-beta,partner-program-health-score-untested,partner-program-tier-beta,partner-type-platform,premium-domain,pro, ,unmapped-zap-created,,,,,,,,,,,,,,,,,,,,
1055412,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,onboarding-monthly,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,
1055937,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,onboarding-annual,paid,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055467,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,onboarding-annual,paid,premium-domain,starter, ,,,,,,,,,,,,,,,,,,,,,,,,
1055104,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,no-plan,premium-domain, ,,,,,,,,,,,,,,,,,,,,,,,,,,
1055864,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,no-plan,premium-domain, ,,,,,,,,,,,,,,,,,,,,,,,,,,
1055543,2022-03-23,2022-04-06,7 days,good,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055504,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055564,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055550,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055499,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055478,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055553,2022-03-23,2022-04-06,7 days,good,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055291,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055508,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055317,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055502,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055501,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055513,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055472,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055572,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055516,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055293,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055523,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055554,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055514,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055518,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055497,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055281,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055559,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055288,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055568,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055526,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055477,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055521,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055282,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055551,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055557,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055473,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055561,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055496,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055289,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055540,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055511,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055574,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055575,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055571,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055287,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055475,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055542,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055567,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055292,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055286,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055515,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055566,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055284,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055396,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055519,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055555,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055548,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055528,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055470,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055565,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055495,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055505,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055569,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055544,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055573,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055563,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055507,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055462,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055570,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055290,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055283,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055546,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055503,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055556,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055522,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055510,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055479,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055517,2022-03-23,2022-04-06,7 days,offered,incident-332-manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
