Support Tickets Ticket ID,Support Tickets Created Date, , , , , 
1055478,2022-03-23,2022-04-06,incident-332-manual, , , 
1055553,2022-03-23,2022-04-06,incident-332-manual, , , 
1055291,2022-03-23,2022-04-06,incident-332-manual, , , 
1055508,2022-03-23,2022-04-06,incident-332-manual, , , 
1055317,2022-03-23,2022-04-06,incident-332-manual, , , 
1055502,2022-03-23,2022-04-06,incident-332-manual, , , 
1055501,2022-03-23,2022-04-06,incident-332-manual, , , 
1055513,2022-03-23,2022-04-06,incident-332-manual, , , 
1055472,2022-03-23,2022-04-06,incident-332-manual, , , 
1055572,2022-03-23,2022-04-06,incident-332-manual, , , 
1055516,2022-03-23,2022-04-06,incident-332-manual, , , 
1055293,2022-03-23,2022-04-06,incident-332-manual, , , 
1055523,2022-03-23,2022-04-06,incident-332-manual, , , 
1055554,2022-03-23,2022-04-06,incident-332-manual, , , 
1055514,2022-03-23,2022-04-06,incident-332-manual, , , 
1055518,2022-03-23,2022-04-06,incident-332-manual, , , 
1055497,2022-03-23,2022-04-06,incident-332-manual, , , 
1055281,2022-03-23,2022-04-06,incident-332-manual, , , 
1055559,2022-03-23,2022-04-06,incident-332-manual, , , 
1055288,2022-03-23,2022-04-06,incident-332-manual, , , 
1055568,2022-03-23,2022-04-06,incident-332-manual, , , 
1055526,2022-03-23,2022-04-06,incident-332-manual, , , 
1055477,2022-03-23,2022-04-06,incident-332-manual, , , 
1055521,2022-03-23,2022-04-06,incident-332-manual, , , 
1055282,2022-03-23,2022-04-06,incident-332-manual, , , 
1055551,2022-03-23,2022-04-06,incident-332-manual, , , 
1055557,2022-03-23,2022-04-06,incident-332-manual, , , 
1055473,2022-03-23,2022-04-06,incident-332-manual, , , 
1055561,2022-03-23,2022-04-06,incident-332-manual, , , 
1055496,2022-03-23,2022-04-06,incident-332-manual, , , 
1055289,2022-03-23,2022-04-06,incident-332-manual, , , 
1055540,2022-03-23,2022-04-06,incident-332-manual, , , 
1055511,2022-03-23,2022-04-06,incident-332-manual, , , 
1055574,2022-03-23,2022-04-06,incident-332-manual, , , 
1055575,2022-03-23,2022-04-06,incident-332-manual, , , 
1055571,2022-03-23,2022-04-06,incident-332-manual, , , 
1055287,2022-03-23,2022-04-06,incident-332-manual, , , 
1055475,2022-03-23,2022-04-06,incident-332-manual, , , 
1055542,2022-03-23,2022-04-06,incident-332-manual, , , 
1055567,2022-03-23,2022-04-06,incident-332-manual, , , 
1055292,2022-03-23,2022-04-06,incident-332-manual, , , 
1055286,2022-03-23,2022-04-06,incident-332-manual, , , 
1055515,2022-03-23,2022-04-06,incident-332-manual, , , 
1055566,2022-03-23,2022-04-06,incident-332-manual, , , 
1055284,2022-03-23,2022-04-06,incident-332-manual, , , 
1055396,2022-03-23,2022-04-06,incident-332-manual, , , 
1055519,2022-03-23,2022-04-06,incident-332-manual, , , 
1055555,2022-03-23,2022-04-06,incident-332-manual, , , 
1055548,2022-03-23,2022-04-06,incident-332-manual, , , 
1055528,2022-03-23,2022-04-06,incident-332-manual, , , 
1055470,2022-03-23,2022-04-06,incident-332-manual, , , 
1055565,2022-03-23,2022-04-06,incident-332-manual, , , 
1055495,2022-03-23,2022-04-06,incident-332-manual, , , 
1055505,2022-03-23,2022-04-06,incident-332-manual, , , 
1055569,2022-03-23,2022-04-06,incident-332-manual, , , 
1055544,2022-03-23,2022-04-06,incident-332-manual, , , 
1055573,2022-03-23,2022-04-06,incident-332-manual, , , 
1055563,2022-03-23,2022-04-06,incident-332-manual, , , 
1055507,2022-03-23,2022-04-06,incident-332-manual, , , 
1055462,2022-03-23,2022-04-06,incident-332-manual, , , 
1055570,2022-03-23,2022-04-06,incident-332-manual, , , 
1055290,2022-03-23,2022-04-06,incident-332-manual, , , 
1055283,2022-03-23,2022-04-06,incident-332-manual, , , 
1055546,2022-03-23,2022-04-06,incident-332-manual, , , 
1055503,2022-03-23,2022-04-06,incident-332-manual, , , 
1055556,2022-03-23,2022-04-06,incident-332-manual, , , 
1055522,2022-03-23,2022-04-06,incident-332-manual, , , 
1055510,2022-03-23,2022-04-06,incident-332-manual, , , 
1055479,2022-03-23,2022-04-06,incident-332-manual, , , 
1055517,2022-03-23,2022-04-06,incident-332-manual, , , 
1055527,2022-03-23,2022-04-06,incident-332-manual, , , 
1055547,2022-03-23,2022-04-06,incident-332-manual, , , 
1055545,2022-03-23,2022-04-06,incident-332-manual, , , 
1055285,2022-03-23,2022-04-06,incident-332-manual, , , 
1055280,2022-03-23,2022-04-06,incident-332-manual, , , 
1055498,2022-03-23,2022-04-06,incident-332-manual, , , 
1055500,2022-03-23,2022-04-06,incident-332-manual, , , 
1055562,2022-03-23,2022-04-06,incident-332-manual, , , 
1055476,2022-03-23,2022-04-06,incident-332-manual, , , 
1055158,2022-03-23,2022-04-06,incident-332-manual, , , 
1055509,2022-03-23,2022-04-06,incident-332-manual, , , 
1055506,2022-03-23,2022-04-06,incident-332-manual, , , 
1055549,2022-03-23,2022-04-06,incident-332-manual, , , 
1055427,2022-03-23,2022-04-06,incident-332-manual, , , 
1055558,2022-03-23,2022-04-06,incident-332-manual, , , 
1055525,2022-03-23,2022-04-06,incident-332-manual, , , 
1055560,2022-03-23,2022-04-06,incident-332-manual, , , 
1055552,2022-03-23,2022-04-06,incident-332-manual, , , 
1055524,2022-03-23,2022-04-06,incident-332-manual, , , 
1055541,2022-03-23,2022-04-06,incident-332-manual, , , 
1055474,2022-03-23,2022-04-06,incident-332-manual, , , 
1055512,2022-03-23,2022-04-06,incident-332-manual, , , 
997884,2022-02-04,2022-02-19,incident-300, ,starter,paid
988744,2022-01-29,2022-02-12,incident-300, ,starter,paid
997862,2022-02-04,2022-02-19,incident-300, ,starter,paid
988725,2022-01-29,2022-02-12,incident-300, ,starter,paid
997863,2022-02-04,2022-02-19,incident-300, ,professional,paid
997861,2022-02-04,2022-02-15,incident-300, ,no-plan, 
997873,2022-02-04,2022-02-15,incident-300, ,no-plan, 
997896,2022-02-04,2022-02-15,incident-300, ,no-plan, 
997866,2022-02-04,2022-02-15,incident-300, ,no-plan, 
1056076,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055631,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1056195,2022-03-24,2022-04-07,incident-332-manual, ,pro,paid
1056041,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1056172,2022-03-24,2022-04-07,incident-332-manual, ,starter,paid
1055361,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
1055600,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
1055431,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
1055667,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
1055898,2022-03-23,2022-04-07,incident-332-manual, ,starter,paid
1056071,2022-03-23,2022-04-07,incident-332-manual, ,starter,paid
1055117,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
1056169,2022-03-24,2022-04-07,incident-332-manual, ,starter,paid
1055953,2022-03-23,2022-04-07,incident-332-manual, ,professional-plus,paid
1055978,2022-03-23,2022-04-07,incident-332-manual, ,professional-plus,paid
1055578,2022-03-23,2022-04-06,incident-332-manual, ,professional,paid
1055914,2022-03-23,2022-04-07,incident-332-manual, ,professional,paid
1055713,2022-03-23,2022-04-06,incident-332-manual, ,professional,paid
1055747,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055471,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055456,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055338,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055844,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055373,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055142,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055297,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055538,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055532,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1056223,2022-03-24,2022-04-07,incident-332-manual, ,pro,paid
1056224,2022-03-24,2022-04-07,incident-332-manual, ,pro,paid
1055202,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055537,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055601,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055463,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1056155,2022-03-24,2022-04-07,incident-332-manual, ,pro,paid
1055686,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055101,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1056030,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055300,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055247,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1056002,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055488,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1056212,2022-03-24,2022-04-07,incident-332-manual, ,pro,paid
1055130,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055201,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055534,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055718,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055175,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1056207,2022-03-24,2022-04-07,incident-332-manual, ,pro,paid
1055086,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055925,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055466,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055410,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055645,2022-03-23,2022-04-06,incident-332-manual, ,professional-plus,paid
1055243,2022-03-23,2022-04-06,incident-332-manual, ,professional-plus,paid
1055122,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
997841,2022-02-04,2022-02-19,incident-300, ,starter,paid
997832,2022-02-04,2022-02-19,incident-300, ,starter,paid
988749,2022-01-29,2022-02-12,incident-300, ,starter,paid
997887,2022-02-04,2022-02-19,incident-300, ,pro,paid
988742,2022-01-29,2022-02-12,incident-300, ,pro,paid
1055407,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
1056049,2022-03-23,2022-04-07,incident-332-manual, ,free, 
1055421,2022-03-23,2022-04-06,incident-332-manual, ,free, 
1055355,2022-03-23,2022-04-02,incident-332-manual, ,free, 
1055678,2022-03-23,2022-04-02,incident-332-manual, ,free, 
1008904,2022-02-14,2022-02-21,incident-309, , , 
1055327,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
1055853,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055931,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055803,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055945,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055665,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055452,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1056199,2022-03-24,2022-04-07,incident-332-manual, ,pro,paid
1055852,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055484,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1056027,2022-03-23,2022-04-07,incident-332-manual, ,starter,paid
1056038,2022-03-23,2022-04-07,incident-332-manual, ,professional,paid
1055200,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
1055208,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
1055309,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
1055375,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
1055659,2022-03-23,2022-04-06,incident-332-manual, ,professional-plus,paid
1055155,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055868,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055181,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055638,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055378,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1056015,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055231,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055165,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055133,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055417,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055672,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1056081,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055348,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055883,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1056067,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055967,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055890,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055536,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1056164,2022-03-24,2022-04-07,incident-332-manual, ,pro,paid
1055249,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055649,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055251,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
997840,2022-02-04,2022-02-19,incident-300, ,starter,paid
1055381,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1056192,2022-03-24,2022-04-07,incident-332-manual, ,pro,paid
1055253,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1056175,2022-03-24,2022-04-07,incident-332-manual, ,pro,paid
1055811,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
1055205,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1056084,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055457,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055440,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055989,2022-03-23,2022-04-07,incident-332-manual, ,starter,paid
1056066,2022-03-23,2022-04-07,incident-332-manual, ,starter,paid
1055641,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055486,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
1055940,2022-03-23,2022-04-07,incident-332-manual, ,starter,paid
1055153,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
1055634,2022-03-23,2022-04-06,incident-332-manual, ,professional-plus,paid
1056191,2022-03-24,2022-04-07,incident-332-manual, ,professional,paid
1055946,2022-03-23,2022-04-07,incident-332-manual, ,professional,paid
1056009,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055907,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055673,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055885,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1056154,2022-03-24,2022-04-07,incident-332-manual, ,pro,paid
1056046,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1056190,2022-03-24,2022-04-07,incident-332-manual, ,pro,paid
1055886,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055822,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055310,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055808,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055279,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055223,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055276,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055585,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055682,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055135,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055712,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1056011,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055702,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1056161,2022-03-24,2022-04-07,incident-332-manual, ,pro,paid
1055689,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1056218,2022-03-24,2022-04-07,incident-332-manual, ,pro,paid
1055658,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055432,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
997842,2022-02-04,2022-02-19,incident-300, ,starter,paid
1055635,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1056160,2022-03-24,2022-04-07,incident-332-manual, ,pro,paid
1055161,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1056188,2022-03-24,2022-04-07,incident-332-manual, ,starter,paid
1056217,2022-03-24,2022-04-07,incident-332-manual, ,starter,paid
1055872,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055801,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055994,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055879,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055975,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055640,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055960,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055861,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1056080,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055652,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055212,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1056019,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1056193,2022-03-24,2022-04-07,incident-332-manual, ,pro,paid
1055805,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055653,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
1055957,2022-03-23,2022-04-07,incident-332-manual, ,starter,paid
1055366,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
1055821,2022-03-23,2022-04-07,incident-332-manual, ,starter,paid
1056024,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1056209,2022-03-24,2022-04-07,incident-332-manual, ,pro,paid
1055865,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1056068,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1056072,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055884,2022-03-23,2022-04-07,incident-332-manual, ,starter,paid
1056203,2022-03-24,2022-04-07,incident-332-manual, ,pro,paid
1055383,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055241,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055487,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055745,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055353,2022-03-23,2022-04-06,incident-332-manual, ,professional,paid
1055350,2022-03-23,2022-04-05,incident-332-manual, ,team,paid
1055411,2022-03-23,2022-04-05,incident-332-manual, ,team,paid
1055182,2022-03-23,2022-04-05,incident-332-manual, ,team,paid
1055403,2022-03-23,2022-04-05,incident-332-manual, ,team,paid
1055221,2022-03-23,2022-04-05,incident-332-manual, ,team,paid
1055190,2022-03-23,2022-04-05,incident-332-manual, ,team,paid
1055272,2022-03-23,2022-04-05,incident-332-manual, ,team,paid
1055237,2022-03-23,2022-04-05,incident-332-manual, ,team,paid
1055318,2022-03-23,2022-04-05,incident-332-manual, ,team,paid
1055308,2022-03-23,2022-04-05,incident-332-manual, ,team,paid
